web-scraper-order,web-scraper-start-url,schoollınk,schoollınk-href,CNO,SEX,AGGT,DIV,DETAILED SUBJECTS,headıng,Stats
"1548657146-289","https://matokeo.necta.go.tz/csee/csee.htm","S5162 UNIQUE LEARNING","https://matokeo.necta.go.tz/csee/results/s5162.htm","S5162/0001","F","26","IV","CIV - 'F'   HIST - 'D'   GEO - 'D'   B/KNOWL - 'D'   KISW - 'C'   ENGL - 'C'   BIO - 'C'   B/MATH - 'F'","S5162 UNIQUE LEARNING SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 3;  DIV-IV = 11;  DIV-0 = 3"
"1548657367-337","https://matokeo.necta.go.tz/csee/csee.htm","S5104 MUSA AKASHA","https://matokeo.necta.go.tz/csee/results/s5104.htm","S5104/0001","F","30","IV","CIV - 'F'   HIST - 'D'   GEO - 'D'   B/KNOWL - 'F'   KISW - 'C'   ENGL - 'D'   BIO - 'F'   B/MATH - 'F'","S5104 MUSA AKASHA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 5;  DIV-III = 5;  DIV-IV = 15;  DIV-0 = 0"
"1548674005-4226","https://matokeo.necta.go.tz/csee/csee.htm","S0900 MWIGO","https://matokeo.necta.go.tz/csee/results/s0900.htm","S0900/0001","F","24","III","CIV - 'C'   HIST - 'C'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   LIT ENG - 'D'   BIO - 'D'   B/MATH - 'F'","S0900 MWIGO SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 7;  DIV-III = 29;  DIV-IV = 49;  DIV-0 = 8"
"1548657281-319","https://matokeo.necta.go.tz/csee/csee.htm","S5124 ST. MAXIMILLIAN","https://matokeo.necta.go.tz/csee/results/s5124.htm","S5124/0001","F","8","I","CIV - 'B'   HIST - 'B'   GEO - 'C'   KISW - 'A'   ENGL - 'A'   LIT ENG - 'A'   PHY - 'C'   CHEM - 'A'   BIO - 'A'   B/MATH - 'A'","S5124 ST. MAXIMILLIAN SECONDARY SCHOOL","DIV-I = 16;  DIV-II = 7;  DIV-III = 2;  DIV-IV = 0;  DIV-0 = 0"
"1548667240-2675","https://matokeo.necta.go.tz/csee/csee.htm","S2583 PANDE","https://matokeo.necta.go.tz/csee/results/s2583.htm","S2583/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S2583 PANDE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 12;  DIV-0 = 19"
"1548676147-4657","https://matokeo.necta.go.tz/csee/csee.htm","S0391 HAILE SELASSIE","https://matokeo.necta.go.tz/csee/results/s0391.htm","S0391/0001","F","33","IV","CIV - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   PHY EDU - 'F'   KISW - 'D'   ENGL - 'F'   PHY - 'F'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S0391 HAILE SELASSIE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 2;  DIV-III = 11;  DIV-IV = 132;  DIV-0 = 103"
"1548678003-5175","https://matokeo.necta.go.tz/csee/csee.htm","P2821 DINAMU  CENTRE","https://matokeo.necta.go.tz/csee/results/p2821.htm","P2821/0001","F","-","ABS","ENGL - 'X'   PHY - 'X'   CHEM - 'X'   BIO - 'X'   B/MATH - 'X'","P2821 DINAMU SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 2;  DIV-IV = 13;  DIV-0 = 4"
"1548670061-3338","https://matokeo.necta.go.tz/csee/csee.htm","S1881 MAHEGE","https://matokeo.necta.go.tz/csee/results/s1881.htm","S1881/0001","F","32","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'C'   ENGL - 'D'   BIO - 'F'   B/MATH - 'F'","S1881 MAHEGE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 3;  DIV-IV = 24;  DIV-0 = 4"
"1548661866-1491","https://matokeo.necta.go.tz/csee/csee.htm","S3802 MUKA","https://matokeo.necta.go.tz/csee/results/s3802.htm","S3802/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S3802 MUKA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 2;  DIV-III = 15;  DIV-IV = 49;  DIV-0 = 24"
"1548666560-2519","https://matokeo.necta.go.tz/csee/csee.htm","S2743 DALUNI","https://matokeo.necta.go.tz/csee/results/s2743.htm","S2743/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S2743 DALUNI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 3;  DIV-III = 7;  DIV-IV = 30;  DIV-0 = 9"
